Name,Price
Solid 925 Sterling Silver Italian Rope Chain Mens Necklace 9mm - Diamond Cut,$233.99 to $324.99
Solid 925 Sterling Silver Italian Rope Chain Mens Necklace 8mm - Diamond Cut,$165.99 to $259.99
Solid 925 Sterling Silver Italian Rope Chain Mens Necklace 6.5mm - Diamond Cut,$103.99 to $153.99
"925 Sterling Silver Bismark Chain Necklace Italian 925 NEW, PLUX - Italian",$40.41 to $172.81
925 Sterling Silver Solid Miami Cuban Curb Link Chain Necklace Rhodium New Italy,$37.18 to $211.62
Solid 925 Sterling Silver Italian Rope Chain Mens Necklace 4.00mm - Diamond Cut,$45.99 to $71.99
Certified D Color VVS1 Moissanite Solitaire Stud Earrings Screwback 925 Sterling,$21.99 to $47.99
14K Gold Lab Grown Diamond Stud Earrings IGI Certified 0.50 Ct-6.00 Ct D/F VS1,"$299.99 to $2,279.99"
14k Yellow Gold Plated Over 925 Sterling Silver Rope Chain Mens Necklace 8mm NEW,$183.37 to $239.55
Real 925 Sterling Silver 3.5mm Anchor Cable Link Rolo Chain Necklace - Italian,$64.12 to $75.66
14K Solid Yellow Gold Evil Eye Diamond Cut Pendant - Good Luck Charm Light Blue,$86.54 to $222.39
Solid 925 Sterling Silver Diamond Cut Margarita Sparkle Rock Chain Necklace 3mm,$27.99 to $59.99
"10K Solid Yellow Gold Cuban 2mm 2.5mm Chain Necklace 16"" 18"" 20"" 22"" 24"" 26"" 30""",$137.54 to $269.84
2 Ct Round Cut Certified Lab Grown D VVS2 Diamond Stud Earrings 14k Yellow Gold,$692.99
"14K Solid Yellow Gold Box Necklace Chain With Lobster Clasp 16"" 18"" 20"" 22"" 24""",$128.09 to $195.29
"14K Solid Yellow Gold Box Necklace Real Gold Chain 16"" 18"" 20"" 22"" 24"" 26"" 30""",$102.89 to $170.09
Solid 925 Sterling Silver Italian Rope Chain Mens Necklace 5mm - Diamond Cut,$63.99 to $107.99
2 Ct IGI Certified Lab Grown Diamond Stud Earring Emerald Cut 14K Gold G VVS2,$719.99
10k Yellow Gold 2mm Italy Figaro Link Chain Necklace Men REAL GOLD,$123.89 to $188.99
925 Sterling Silver Diamond Cut Rope Chain 5mm Mens Necklace - Italy - All Sizes,$130.58 to $204.04
10k Yellow Gold 2mm Italy Figaro Link Chain Necklace Women REAL GOLD,$123.89 to $188.99
Lab Grown Diamond Solitaire Pendant Necklace In 14k Yellow Gold Color D-E VS1,$148.49 to $629.99
"18K Solid Gold Cuban Link Chain Women Necklace 2mm 16"" 18"" 20"" 22"" 24"" 30""",$247.79 to $400.04
"14K Solid Yellow Gold Cuban Curb Chain Necklace 2.5mm 16"" 18"" 20"" 22"" 24"" 30""",$241.49 to $388.49
Solid 925 Oxidized Sterling Silver Italian Popcorn Coreana Chain 2.5mm,$29.14 to $39.63
"925 Sterling Silver Flexible Herringbone Bracelet, All Sizes, Made In Italy",$25.99 to $38.99
"18K Solid Gold Rope Chain Necklace Men Women 16"" 18"" 20"" 22"" 24"" 26"" 28"" 30""",$220.49 to $363.29
925 Sterling Silver 9mm Herringbone Necklace Italian Chain - All Sizes,$89.99 to $139.99
925 Sterling Silver 12mm Herringbone Necklace Italian Chain - All Sizes,$162.06 to $237.85
14K Solid White Gold Cuban Link Necklace 2mm 16'' 18'' 20'' 22'' 24'' 26'' 30'',$188.99 to $301.34
2 Ct Round Cut Certified Lab Grown D VVS2 Diamond Stud Earrings 14k White Gold,$692.99
Real 14k Gold Plated Over Solid 925 Sterling Silver Rope Chain 5.00mm,$77.37 to $116.59
"925 Sterling Silver 3.5Mmm Oxidized Anchor Link Cable Chain, Made In Italy, NEW",$85.11 to $130.58
Lab Grown Diamond Solitaire Pendant Necklace In 14k White Gold Color D/E VS1,$140.39 to $647.99
14k Yellow Gold Plated Over 925 Sterling Silver Rope Chain Mens Necklace 6.5mm,$113.41 to $180.19
Real 14K Yellow Gold 2mm Miami Cuban Link Chain Necklace All Sizes,$301.34 to $392.69
Real Solid 925 Sterling Silver Paper Clip Chain Paperclip Necklace Made in Italy,$20.99 to $41.99
"10K Solid Yellow Gold Necklace Gold Rope Chain 16"" 18"" 20"" 22"" 24"" 26"" 28"" 30""",$113.39 to $171.14
18K Solid Gold Hollow Rope Chain Necklace Men Women - Genuine 18k Gold,$220.49 to $363.29
"14K Yellow Gold 2mm Figaro Chain Necklace 16"" 18"" 20"" 22"" 24"" 26"" - Genuine 14k",$178.49 to $253.04
925 Sterling Silver 14mm Herringbone Necklace Italian Chain - All Sizes,$204.04 to $361.45
Women 10K Solid White Gold Box Chain 0.6mm 16'' 18'' 20'' 22'' 24' 26'' 30'',$78.74 to $129.14
Solid 925 Sterling Silver Italian Rope Chain Mens Necklace 3.5mm - Diamond Cut,$37.99 to $52.99
IGI 2.00 Carat Lab Grown Diamond Studs Earrings 14k Gold F VS2 Screw Back,$725.00
925 Sterling Silver Ball Bead Chain 3mm 4mm 5mm Necklace .925 Italy - All Sizes,$60.27 to $160.31
IGI Certified 2.00 Carat D VVS2 Lab Grown Diamond Studs 14K Gold Screw Back,$652.49
925 Sterling Silver Herringbone Necklace Italian Chain 3mm 5mm 6mm 7mm,$35.90 to $117.99
14K Solid Yellow Gold Chain Anchor Mariner Link Chain Necklace - All Sizes,$118.64 to $192.14
